Text,bundles,n_bundles
Матирующий тональный кушон для лица 1500,"[{""Title"": ""\u041c\u0430\u0442\u0438\u0440\u0443\u044e\u0449\u0438\u0439 \u0442\u043e\u043d\u0430\u043b\u044c\u043d\u044b\u0439 \u043a\u0443\u0448\u043e\u043d \u0434\u043b\u044f \u043b\u0438\u0446\u0430"", ""Price"": ""1500"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"телевизор lg, в отличном состоянии и упакованный. продаётся с пультом, креплением и ресивером. новый. лимассол. стоимость : 180 евро.","[{""Title"": ""\u0442\u0435\u043b\u0435\u0432\u0438\u0437\u043e\u0440 lg \u0441 \u043f\u0443\u043b\u044c\u0442\u043e\u043c, \u043a\u0440\u0435\u043f\u043b\u0435\u043d\u0438\u0435\u043c \u0438 \u0440\u0435\u0441\u0438\u0432\u0435\u0440\u043e\u043c"", ""Price"": ""180"", ""Currency"": ""\u0435\u0432\u0440\u043e"", ""Count"": ""1""}]",1
продаю . телевизор с подставкой. цена 150 евро. лимассол,"[{""Title"": ""\u0442\u0435\u043b\u0435\u0432\u0438\u0437\u043e\u0440 \u0441 \u043f\u043e\u0434\u0441\u0442\u0430\u0432\u043a\u043e\u0439"", ""Price"": ""150"", ""Currency"": ""\u0435\u0432\u0440\u043e"", ""Count"": ""1""}]",1
"Палочники палочники палочники.

Их все ещё много. 

[id28336140|@mashirin] 

Смотрите закреп",[],0
"ресивер в хорошем состоянии, пульт отсутствует. 5€ лимассол","[{""Title"": ""\u0440\u0435\u0441\u0438\u0432\u0435\u0440 \u0432 \u0445\u043e\u0440\u043e\u0448\u0435\u043c \u0441\u043e\u0441\u0442\u043e\u044f\u043d\u0438\u0438"", ""Price"": ""5"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"Продам куртки женские, размер 48-50. Джинсовая 1800 Кожаная 1500","[{""Title"": ""\u0414\u0436\u0438\u043d\u0441\u043e\u0432\u0430\u044f \u043a\u0443\u0440\u0442\u043a\u0430 \u0436\u0435\u043d\u0441\u043a\u0430\u044f"", ""Price"": ""1800"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041a\u043e\u0436\u0430\u043d\u0430\u044f \u043a\u0443\u0440\u0442\u043a\u0430 \u0436\u0435\u043d\u0441\u043a\u0430\u044f"", ""Price"": ""1500"", ""Currency"": ""RUB"", ""Count"": ""1""}]",2
"продаются картины 🎨
масло/холст
35х30
35х25
100 лари за каждую ☘️","[{""Title"": ""\u041a\u0430\u0440\u0442\u0438\u043d\u0430 \u043c\u0430\u0441\u043b\u043e/\u0445\u043e\u043b\u0441\u0442 35x30"", ""Price"": ""100"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"#продам ракету cannondale supersix evo 🚀☺️
красивая командная расцветка. такой был у сагана :)
размер м(54)

очень легкий, в хорошем состоянии, вес без педалей: 7,2кг 🔥

рама, вилка, подседел, шатуны - карбон 🪶

⚙ групсет: campagnolo chorus 11 speed.
легкая система: fsa 52/36
кассета: campagnolo 11-25
карбоновые шатуны: sram s series carbon 172,5
тормоза: campagnolo chorus, карборучки
колеса: легкие алюминиевые, под тубулесс, но стоят камеры. заднее: campagnolo zonda. переднее: fulcrum racing 1
покрышки: vittoria rubino pro 700x23 
руль: specialized tarmac bend al-6061
седло: prologo kappa evo
цепь: sram red

из расходников: на подходе колодки.

бонус: топ-обмотка lizard skins в цвет вела в подарок, запас по цепи хороший.

цена: $1500
продается без педалей.

также есть новая легкая кассета miche primato campagnolo 12-29, made in italy","[{""Title"": ""\u0412\u0435\u043b\u043e\u0441\u0438\u043f\u0435\u0434 Cannondale Supersix Evo"", ""Price"": ""1500"", ""Currency"": ""USD"", ""Count"": ""1""}]",1
"новый декор для дома, все за 5 евро. лимассол, 4 seasons или ипсонас","[{""Title"": ""\u043d\u043e\u0432\u044b\u0439 \u0434\u0435\u043a\u043e\u0440 \u0434\u043b\u044f \u0434\u043e\u043c\u0430"", ""Price"": ""5"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"продаем в связи с отъездом:
1.  кастрюля небольшая с резиновыми ручками (куплена около месяца назад в горгии) -35 лари 
 2. набор стаканов ikea (4шт) - 20 лари
 3. посуда декоративная - за все 30 лари
 4. набор посуды черный керамика 16 предм. (с wildberries) - 100лари
 5. 4 салфетки джутовые + салфетница - 20 лари
 6. ковер безворсовый jysk - 150 лари (размер 130*193 купили совсем недавно, дефектов нет)

при покупке нескольких вещей сразу - скидка 💸
территориально 📍м. госуноверситет","[{""Title"": ""\u043a\u0430\u0441\u0442\u0440\u044e\u043b\u044f \u043d\u0435\u0431\u043e\u043b\u044c\u0448\u0430\u044f \u0441 \u0440\u0435\u0437\u0438\u043d\u043e\u0432\u044b\u043c\u0438 \u0440\u0443\u0447\u043a\u0430\u043c\u0438"", ""Price"": ""35"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""1""}, {""Title"": ""\u043d\u0430\u0431\u043e\u0440 \u0441\u0442\u0430\u043a\u0430\u043d\u043e\u0432 ikea"", ""Price"": ""20"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""4 \u0448\u0442""}, {""Title"": ""\u043f\u043e\u0441\u0443\u0434\u0430 \u0434\u0435\u043a\u043e\u0440\u0430\u0442\u0438\u0432\u043d\u0430\u044f"", ""Price"": ""30"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""1""}, {""Title"": ""\u043d\u0430\u0431\u043e\u0440 \u043f\u043e\u0441\u0443\u0434\u044b \u0447\u0435\u0440\u043d\u044b\u0439 \u043a\u0435\u0440\u0430\u043c\u0438\u043a\u0430"", ""Price"": ""100"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""16 \u043f\u0440\u0435\u0434\u043c.""}, {""Title"": ""\u0441\u0430\u043b\u0444\u0435\u0442\u043a\u0438 \u0434\u0436\u0443\u0442\u043e\u0432\u044b\u0435 \u0441 \u0441\u0430\u043b\u0444\u0435\u0442\u043d\u0438\u0446\u0435\u0439"", ""Price"": ""20"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""1""}, {""Title"": ""\u043a\u043e\u0432\u0435\u0440 \u0431\u0435\u0437\u0432\u043e\u0440\u0441\u043e\u0432\u044b\u0439 jysk"", ""Price"": ""150"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""1""}]",6
"продаю bluetooth клавиатуру apple (английская раскладка) и трекпад apple (2е поколение). 

продаю потому что лежат без дела. технически практически не использовались, но поскольку много переезжали и возили их  за собой, на задней поверхности есть маленькие царапинки на пластике и на клавиатуре есть несколько небольших скосов на углах поверхности (смотрите на фото).
могу скинуть видео чтобы показать состояние. 

стоимость: 
клавиатура 250 лари
трекпад 300 лари 

если покупаете комплектом, то за 500лари. 

коробка не сохранилась. 

забирать в районе винной фабрики (меликишвили/ или в начале чавчавадзе). 
также могу отправить с яндекс курьером.","[{""Title"": ""\u041a\u043e\u043c\u043f\u043b\u0435\u043a\u0442 Bluetooth \u043a\u043b\u0430\u0432\u0438\u0430\u0442\u0443\u0440\u0430 Apple (\u0430\u043d\u0433\u043b\u0438\u0439\u0441\u043a\u0430\u044f \u0440\u0430\u0441\u043a\u043b\u0430\u0434\u043a\u0430) \u0438 \u0442\u0440\u0435\u043a\u043f\u0430\u0434 Apple (2\u0435 \u043f\u043e\u043a\u043e\u043b\u0435\u043d\u0438\u0435)"", ""Price"": ""500"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""1""}]",1
стул кресло раскладной массив дерева 30 евро лимассол,"[{""Title"": ""\u0441\u0442\u0443\u043b \u043a\u0440\u0435\u0441\u043b\u043e \u0440\u0430\u0441\u043a\u043b\u0430\u0434\u043d\u043e\u0439 \u043c\u0430\u0441\u0441\u0438\u0432 \u0434\u0435\u0440\u0435\u0432\u0430"", ""Price"": ""30"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"Ботинки Rеіmа р.25-1000руб.

#БД_обувь","[{""Title"": ""\u0411\u043e\u0442\u0438\u043d\u043a\u0438 Reima \u0440. 25"", ""Price"": ""1000"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"сарочка -25 лари 
жакет -30 лари","[{""Title"": ""\u0436\u0430\u043a\u0435\u0442"", ""Price"": ""30"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"Распродажа 
Размер: 0-1-2-3-4 лет
Цена: 50р  ( упт  12 пар ×50р)
Без выбора 
Арт:  2В-24 корпус  А","[{""Title"": ""\u0420\u0430\u0441\u043f\u0440\u043e\u0434\u0430\u0436\u0430 \u0434\u0435\u0442\u0441\u043a\u0438\u0445 \u0442\u043e\u0432\u0430\u0440\u043e\u0432 \u0434\u043b\u044f \u0432\u043e\u0437\u0440\u0430\u0441\u0442\u0430 \u043e\u0442 0 \u0434\u043e 4 \u043b\u0435\u0442"", ""Price"": ""600"", ""Currency"": ""RUB"", ""Count"": ""12 \u043f\u0430\u0440""}]",1
"1. подушка для кормления, в отличном состоянии. хорошо держит форму. 20 лари

2. люлька от грузинского бренда mimo. не использовалась, до 3-4 мес подойдет. класть можно и в коляску и на кровать и на пеленальный столик использовали как бортик. 30 лари

сабуртало","[{""Title"": ""\u043f\u043e\u0434\u0443\u0448\u043a\u0430 \u0434\u043b\u044f \u043a\u043e\u0440\u043c\u043b\u0435\u043d\u0438\u044f"", ""Price"": ""20"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""1""}, {""Title"": ""\u043b\u044e\u043b\u044c\u043a\u0430 \u043e\u0442 \u0433\u0440\u0443\u0437\u0438\u043d\u0441\u043a\u043e\u0433\u043e \u0431\u0440\u0435\u043d\u0434\u0430 mimo"", ""Price"": ""30"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""1""}]",2
"1.толстовка Sela, размер 116,цена 400 руб 2.кофта, размер 104,300 рублей","[{""Title"": ""\u0442\u043e\u043b\u0441\u0442\u043e\u0432\u043a\u0430 Sela, \u0440\u0430\u0437\u043c\u0435\u0440 116"", ""Price"": ""400"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u043a\u043e\u0444\u0442\u0430, \u0440\u0430\u0437\u043c\u0435\u0440 104"", ""Price"": ""300"", ""Currency"": ""RUB"", ""Count"": ""1""}]",2
"110 размер
Состояние нового
1000 руб","[{""Title"": ""\u041e\u0434\u0435\u0436\u0434\u0430 \u0440\u0430\u0437\u043c\u0435\u0440 110"", ""Price"": ""1000"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"трекинговые палки campleader

удобно брать с собой — собираются в чехол, занимают мало места и лёгкие (300гр)

универсальные — в комплекте насадки для трекинга, асфальта и снега

подходят для роста от 156 до 
190см

110 лари","[{""Title"": ""\u0442\u0440\u0435\u043a\u0438\u043d\u0433\u043e\u0432\u044b\u0435 \u043f\u0430\u043b\u043a\u0438 campleader"", ""Price"": ""110"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"продаю macbook pro 15.6 дюймов, 2017год , 16гб 512гб ssd  с двумя видео картои,  2000 лари","[{""Title"": ""MacBook Pro 15.6 \u0434\u044e\u0439\u043c\u043e\u0432, 2017 \u0433\u043e\u0434, 16\u0413\u0411 512\u0413\u0411 SSD \u0441 \u0434\u0432\u0443\u043c\u044f \u0432\u0438\u0434\u0435\u043e\u043a\u0430\u0440\u0442\u0430\u043c\u0438"", ""Price"": ""2000"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"Цена шт  100руб
Распродажа
Размер:  25-26-27-28-29-30-31-32
Без выбора цвета
Линия 27 павильон 09",[],0
"в связи с отъездом растения хойя каскад два больших ростка и сциндапсус пиктус. в горшке.
все вместе за 10ლ
сегодня после 15.00 до 18.00 у спорткомплекса black sea 2 (театр ахметели)","[{""Title"": ""\u0440\u0430\u0441\u0442\u0435\u043d\u0438\u044f \u0445\u043e\u0439\u044f \u043a\u0430\u0441\u043a\u0430\u0434 \u0438 \u0441\u0446\u0438\u043d\u0434\u0430\u043f\u0441\u0443\u0441 \u043f\u0438\u043a\u0442\u0443\u0441"", ""Price"": ""10"", ""Currency"": ""\u10da"", ""Count"": ""1""}]",1
новый holika гель алоэ наносится на чистую сухую кожу лица и тела. срок годности заканчивается 24.09.2023. 5 лари забирать ваке,"[{""Title"": ""\u0433\u0435\u043b\u044c \u0430\u043b\u043e\u044d Holika"", ""Price"": ""5"", ""Currency"": ""\u043b\u0430\u0440\u0438"", ""Count"": ""1""}]",1
"срочно продаю ❗❗❗
супер мягкие и стильные икеевские сидушки!

 •69 лари - все 3 штучки
• 30 лари - одна штука
• идеальное состояние; они после стирки и вкусненько пахнут чистотой 🥰🥰
•очень удобно сидеть, просто кайф
•чехлы снимаются, все можно стирать без проблем 🥂
•чудный серый цвет прекрасно впишется в интерьер!

•метро варкетили/подвезу к любому другому метро!
•самовывоз из нового города тбилисского моря!","[{""Title"": ""\u043c\u044f\u0433\u043a\u0438\u0435 \u0438\u043a\u0435\u0435\u0432\u0441\u043a\u0438\u0435 \u0441\u0438\u0434\u0443\u0448\u043a\u0438 \u0441\u0435\u0440\u043e\u0433\u043e \u0446\u0432\u0435\u0442\u0430"", ""Price"": ""69"", ""Currency"": ""GEL"", ""Count"": ""3""}, {""Title"": ""\u043c\u044f\u0433\u043a\u0430\u044f \u0438\u043a\u0435\u0435\u0432\u0441\u043a\u0430\u044f \u0441\u0438\u0434\u0443\u0448\u043a\u0430 \u0441\u0435\u0440\u043e\u0433\u043e \u0446\u0432\u0435\u0442\u0430"", ""Price"": ""30"", ""Currency"": ""GEL"", ""Count"": ""1""}]",2
"Костюмы с начёсом для мальчика и девочек 
Цена шт 900р
Распродажа 
Ткань; ДвухНитка на флис
Размеры: 116-122-128-134-140-146
Линия 26 павильон 56
https://vk.com/club188310243","[{""Title"": ""\u041a\u043e\u0441\u0442\u044e\u043c \u0441 \u043d\u0430\u0447\u0451\u0441\u043e\u043c \u0434\u043b\u044f \u043c\u0430\u043b\u044c\u0447\u0438\u043a\u0430 \u0438 \u0434\u0435\u0432\u043e\u0447\u0435\u043a"", ""Price"": ""900"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"серия книг о гарри потерре, 7 книг, с прекрасными иллюстрациями, 150е, лимассол","[{""Title"": ""\u0441\u0435\u0440\u0438\u044f \u043a\u043d\u0438\u0433 \u043e \u0433\u0430\u0440\u0440\u0438 \u043f\u043e\u0442\u0435\u0440\u0440\u0435 \u0441 \u0438\u043b\u043b\u044e\u0441\u0442\u0440\u0430\u0446\u0438\u044f\u043c\u0438"", ""Price"": ""150"", ""Currency"": ""EUR"", ""Count"": ""7""}]",1
"стол универсальный 60на60на75, новый
цвет как на втором фото

70 лари
торг уместен

район диди дигоми
можем отправить по городу яндекс доставкой","[{""Title"": ""\u0441\u0442\u043e\u043b \u0443\u043d\u0438\u0432\u0435\u0440\u0441\u0430\u043b\u044c\u043d\u044b\u0439 60\u043d\u043060\u043d\u043075, \u043d\u043e\u0432\u044b\u0439"", ""Price"": ""70"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"davines - мусс-объем 
this is a volume boosting mousse

20 лари
вера","[{""Title"": ""davines \u043c\u0443\u0441\u0441-\u043e\u0431\u044a\u0435\u043c"", ""Price"": ""20"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"палетка теней от бренда sigil inspired by tammy tanuka (тамми танука) неукротимый лавовый василиск, большой формат, 26 мм. свотчи + два макияжа.
отдам у метро делиси.
94 лари или 3000 руб на карту тинькофф","[{""Title"": ""\u043f\u0430\u043b\u0435\u0442\u043a\u0430 \u0442\u0435\u043d\u0435\u0439 Sigil Inspired by Tammy Tanuka, \u0431\u043e\u043b\u044c\u0448\u043e\u0439 \u0444\u043e\u0440\u043c\u0430\u0442 26 \u043c\u043c"", ""Price"": ""3000"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"👌Новая поступления  🥳🥳🥳 
     Цена по ниже 
 Простыня на резинке
💢Ткань- Трикотаж 
💢Состав-100% хлопок 
💢Высота борта -20см
✨✨✨✨✨✨✨✨✨✨
▫️Размер:👇   цена 👇
✅80Х200  см- 260    
✅90Х200  см - 270₽🔥
✅120х200см -  290₽🔥
✅140х200см -  310₽🔥
✅160х200см -  330₽🔥
✅180х200см -  350₽🔥
✅200х200см -  370₽🔥
 ➡️У нас можно бронь 💫
Подробнее на https://vk.com/wall488363770_20840","[{""Title"": ""\u041f\u0440\u043e\u0441\u0442\u044b\u043d\u044f \u043d\u0430 \u0440\u0435\u0437\u0438\u043d\u043a\u0435 80\u0425200 \u0441\u043c"", ""Price"": ""260"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041f\u0440\u043e\u0441\u0442\u044b\u043d\u044f \u043d\u0430 \u0440\u0435\u0437\u0438\u043d\u043a\u0435 120\u0445200\u0441\u043c"", ""Price"": ""290"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041f\u0440\u043e\u0441\u0442\u044b\u043d\u044f \u043d\u0430 \u0440\u0435\u0437\u0438\u043d\u043a\u0435 200\u0445200\u0441\u043c"", ""Price"": ""370"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041f\u0440\u043e\u0441\u0442\u044b\u043d\u044f \u043d\u0430 \u0440\u0435\u0437\u0438\u043d\u043a\u0435 160\u0445200\u0441\u043c"", ""Price"": ""330"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041f\u0440\u043e\u0441\u0442\u044b\u043d\u044f \u043d\u0430 \u0440\u0435\u0437\u0438\u043d\u043a\u0435 140\u0445200\u0441\u043c"", ""Price"": ""310"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041f\u0440\u043e\u0441\u0442\u044b\u043d\u044f \u043d\u0430 \u0440\u0435\u0437\u0438\u043d\u043a\u0435 90\u0425200 \u0441\u043c"", ""Price"": ""270"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041f\u0440\u043e\u0441\u0442\u044b\u043d\u044f \u043d\u0430 \u0440\u0435\u0437\u0438\u043d\u043a\u0435 180\u0445200\u0441\u043c"", ""Price"": ""350"", ""Currency"": ""RUB"", ""Count"": ""1""}]",7
"Носки Nike белые высокие. 10 пар. Отдам всё сразу за 700 рублей. Яхрома.

#БД_одежда","[{""Title"": ""\u041d\u043e\u0441\u043a\u0438 Nike \u0431\u0435\u043b\u044b\u0435 \u0432\u044b\u0441\u043e\u043a\u0438\u0435"", ""Price"": ""700"", ""Currency"": ""RUB"", ""Count"": ""10 \u043f\u0430\u0440""}]",1
продается оригиналние кеди пума 42 размер 200  лари,"[{""Title"": ""\u043a\u0435\u0434\u0438 \u043f\u0443\u043c\u0430 42 \u0440\u0430\u0437\u043c\u0435\u0440"", ""Price"": ""200"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"#БНИ_ПродамНовая_Тамбов
#БНИ_id99098904
#Бни_Продам_Почта
#Бни_Продам_Авито

Все игры новые, в идеальном состоянии. По всем вопросам огромная просьба обращаться в сообщения

1) Все Особняки безумия - 16900 
2) Весь Древний ужас - 20900","[{""Title"": ""\u0412\u0441\u0435 \u041e\u0441\u043e\u0431\u043d\u044f\u043a\u0438 \u0431\u0435\u0437\u0443\u043c\u0438\u044f"", ""Price"": ""16900"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0412\u0435\u0441\u044c \u0414\u0440\u0435\u0432\u043d\u0438\u0439 \u0443\u0436\u0430\u0441"", ""Price"": ""20900"", ""Currency"": ""RUB"", ""Count"": ""1""}]",2
"Apple Watch ￼7 45 мм , ростест , полный комплект , в идеале , стоит защитная пленка , цена вопроса 22000р , акум 99, не надо писать про цену , цена адекват .","[{""Title"": ""Apple Watch 7 45 \u043c\u043c, \u0440\u043e\u0441\u0442\u0435\u0441\u0442, \u043f\u043e\u043b\u043d\u044b\u0439 \u043a\u043e\u043c\u043f\u043b\u0435\u043a\u0442"", ""Price"": ""22000"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"#БНИ_ПродамБУ_Томск
#БНИ_ПродамНовое_Томск 
#БНИ_Авито 
#БНИ_id167920185 
 
1. Траян - 2300 рублей 
Б/У. Пробег 1 партия, состояние идеальное, карты в протекторах, полный комплект. 
 
2. Маленькие империи. Самураи - 3400 рублей
База + дополнение. Новое в пленке.
 
3. Кофе - 680 рублей 
Б/У, играли 2 раза, в отличном состоянии. 
 
4. Келюс 1303 - 2050 рублей 
Пробег 1 партия, состояние идеальное, полный комплект. 
 
Все вопросы в личку. 
Доп. фото по запросу. 
Без обмена. Лично либо Авито, без доплат.","[{""Title"": ""\u0422\u0440\u0430\u044f\u043d"", ""Price"": ""2300"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041a\u043e\u0444\u0435"", ""Price"": ""680"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041c\u0430\u043b\u0435\u043d\u044c\u043a\u0438\u0435 \u0438\u043c\u043f\u0435\u0440\u0438\u0438. \u0421\u0430\u043c\u0443\u0440\u0430\u0438"", ""Price"": ""3400"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041a\u0435\u043b\u044e\u0441 1303"", ""Price"": ""2050"", ""Currency"": ""RUB"", ""Count"": ""1""}]",4
"продаю итальянский кофейный столик заказывали за 300 евро
состояние: абсолютно новый
размеры: 120x60xh45
цена: 150 евро","[{""Title"": ""\u0438\u0442\u0430\u043b\u044c\u044f\u043d\u0441\u043a\u0438\u0439 \u043a\u043e\u0444\u0435\u0439\u043d\u044b\u0439 \u0441\u0442\u043e\u043b\u0438\u043a"", ""Price"": ""150"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"Личная встреча в г. Краснодар 
Отправка Авито-доставкой, СДЭКом, Боксберри, Почтой России 
Доп. фото и подробности в лс 
 
1) Cумка Vivienne Westwood черная 
15*29*6 (СМ) 
Цена - 3190 
Состояние - новая 
 
2) Cумка Vivienne Westwood разноцветная 
15*29*6 (СМ) 
Цена - 3190 
Состояние - новая 
 
3) Женская толстовка-худи Nike 
Размер L 
Артикул: CZ8896-010 
Цена - 2390 
Состояние - новая 
 
4) Мужской свитшот Nike (с заводским дефектом) 
Размер - L 
Артикул: DO0013-010 
Цена - 1290 
Состояние - новый, но с небольшим дефектом (подробности в лс) 
 
5) Сумка унисекс MLB Monogram черная 
13*19*7 (СМ) 
Цена - 4290 
Состояние - новая 
 
6) Женский кроп-топ с длинным рукавом и отверстием для большого пальца 
Размер - S 
Высота - 46 см; 
Ширина (от подмышки до подмышки) - 36 см; 
Длина рукава - 53 см 
Цена - 1790 
Состояние - новый 
 
7) Сумка унисекс MLB Monogram бежевая 
13*19*7 (СМ) 
Цена - 4290 
Состояние - новая 
 
8) Толстовка-худи Carhartt (унисекс) 
Размер - L 
Цена - 2890 
Состояние - новый 
 
9) Женская сумка y2k в винтажном стиле 
13*20*7 (СМ) 
Цена - 2190 
Состояние - новая 
 
10) Женская сумка MLB Monogram 
17*25*7 (СМ) 
Цена - 2790 
Состояние - новая
#барахолка #барахолка@networksales #продам #объявления #товары","[{""Title"": ""\u0416\u0435\u043d\u0441\u043a\u0438\u0439 \u043a\u0440\u043e\u043f-\u0442\u043e\u043f \u0441 \u0434\u043b\u0438\u043d\u043d\u044b\u043c \u0440\u0443\u043a\u0430\u0432\u043e\u043c \u0438 \u043e\u0442\u0432\u0435\u0440\u0441\u0442\u0438\u0435\u043c \u0434\u043b\u044f \u0431\u043e\u043b\u044c\u0448\u043e\u0433\u043e \u043f\u0430\u043b\u044c\u0446\u0430, \u0440\u0430\u0437\u043c\u0435\u0440 S"", ""Price"": ""1790"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0421\u0443\u043c\u043a\u0430 \u0443\u043d\u0438\u0441\u0435\u043a\u0441 MLB Monogram \u0431\u0435\u0436\u0435\u0432\u0430\u044f"", ""Price"": ""4290"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0422\u043e\u043b\u0441\u0442\u043e\u0432\u043a\u0430-\u0445\u0443\u0434\u0438 Carhartt \u0443\u043d\u0438\u0441\u0435\u043a\u0441, \u0440\u0430\u0437\u043c\u0435\u0440 L"", ""Price"": ""2890"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041c\u0443\u0436\u0441\u043a\u043e\u0439 \u0441\u0432\u0438\u0442\u0448\u043e\u0442 Nike \u0441 \u0437\u0430\u0432\u043e\u0434\u0441\u043a\u0438\u043c \u0434\u0435\u0444\u0435\u043a\u0442\u043e\u043c, \u0440\u0430\u0437\u043c\u0435\u0440 L"", ""Price"": ""1290"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0416\u0435\u043d\u0441\u043a\u0430\u044f \u0441\u0443\u043c\u043a\u0430 y2k \u0432 \u0432\u0438\u043d\u0442\u0430\u0436\u043d\u043e\u043c \u0441\u0442\u0438\u043b\u0435"", ""Price"": ""2190"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0421\u0443\u043c\u043a\u0430 \u0443\u043d\u0438\u0441\u0435\u043a\u0441 MLB Monogram \u0447\u0435\u0440\u043d\u0430\u044f"", ""Price"": ""4290"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0421\u0443\u043c\u043a\u0430 Vivienne Westwood \u0440\u0430\u0437\u043d\u043e\u0446\u0432\u0435\u0442\u043d\u0430\u044f"", ""Price"": ""3190"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0416\u0435\u043d\u0441\u043a\u0430\u044f \u0442\u043e\u043b\u0441\u0442\u043e\u0432\u043a\u0430-\u0445\u0443\u0434\u0438 Nike, \u0440\u0430\u0437\u043c\u0435\u0440 L"", ""Price"": ""2390"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0421\u0443\u043c\u043a\u0430 Vivienne Westwood \u0447\u0435\u0440\u043d\u0430\u044f"", ""Price"": ""3190"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u0416\u0435\u043d\u0441\u043a\u0430\u044f \u0441\u0443\u043c\u043a\u0430 MLB Monogram"", ""Price"": ""2790"", ""Currency"": ""RUB"", ""Count"": ""1""}]",10
маска для защиты волос от хлорки и морской соли. новая. лимассол.10 евро каждая,"[{""Title"": ""\u043c\u0430\u0441\u043a\u0430 \u0434\u043b\u044f \u0437\u0430\u0449\u0438\u0442\u044b \u0432\u043e\u043b\u043e\u0441 \u043e\u0442 \u0445\u043b\u043e\u0440\u043a\u0438 \u0438 \u043c\u043e\u0440\u0441\u043a\u043e\u0439 \u0441\u043e\u043b\u0438"", ""Price"": ""10"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
